authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"O. Rauhut","O. Rauhut",,36119,"A. O.",Averianov,"S. A.",Krasnolutskii,"S. V. Ivantsov",2010,"A new basal coelurosaur (Dinosauria: Theropoda) from the Middle Jurassic of Siberia","Proceedings of the Zoological Institute, Russian Academy of Science",,314,1,42,57,"journal article","stated with evidence",English,,,,,"2011-05-12 06:24:02","2011-05-12 06:24:02"
"M. Carrano","M. Carrano","M. Carrano",14367,"A. O.",Averianov,S.,Leshchinskiy,"P. Skutschas, A. Fayngertz, A. Rezvyi",2004,"Dinosaurs from the Early Cretaceous Ilek Formation in West Siberia, Russia","Second European Association of Vertebrate Palaeontologists Meeting, Moravian Museum, Brno. Abstracts of Papers",,,,6,,abstract,"stated without evidence",English,,,ETE,,"2005-09-06 11:10:44","2005-09-07 04:10:56"
"P. Mannion","J. Tennant",,44653,"A. O.",Averianov,"A. V.",Lopatin,"P. P. Skutschas, N. V. Matynovich, S. V. Leschinkskiy, A. S. Rezvyi, S. A. Krasnolutskii, A. V. Fayngertz",2005,"Discovery of Middle Jurassic mammals from Siberia","Acta Palaeontologica Polonica",,50,4,789,797,"journal article","stated with evidence",English,,,,,"2013-02-05 01:25:35","2013-02-05 01:25:35"
"P. Mannion","J. Tennant",,44655,"A. O.",Averianov,"A. V.",Lopatin,,2006,"Itatodon tatarinovi (Tegotheriidae, Mammalia), a docodont from the Middle Jurassic of Western Siberia and phylogenetic analysis of Docodonta","Paleontological Journal",,40,6,668,677,"journal article","stated with evidence",English,,,,,"2013-02-05 02:36:40","2013-02-05 02:36:40"
"R. Benson","R. Benson",,39704,"A. O.",Averianov,A.,Lopatin,,2008,"“Protocone” in a pretribosphenic mammal and upper dentition Of tinodontid “symmetrodontans","Journal of Vertebrate Paleontology",,28,2,548,552,"journal article","stated without evidence",English,,,,,"2012-01-25 02:30:14","2012-01-25 02:30:14"
"P. Mannion","J. Tennant","J. Tennant",44847,"A. O.",Averianov,"A. V.",Lopatin,"S. A. Krasnolutskii",2008,"An amphilestid-grade eutriconodontan from the Middle Jurassic of Russia","Russian Journal of Theriology",,7,1,1,4,"journal article","stated with evidence",English,,,,,"2013-02-12 07:56:44","2013-02-13 00:25:38"
"M. Carrano","M. Carrano",,34572,"A. O.",Averianov,"A. V.",Lopatin,"S. A. Krasnolutskii, S. V. Ivantsov",2010,"New docodontans from the Middle Jurassic of Siberia and reanalysis of Docodonta interrelationships","Proceedings of the Zoological Institute RAS",,314,2,121,148,"journal article","stated with evidence",English,,,ETE,,"2010-12-21 06:31:00","2010-12-21 06:31:00"
"M. Carrano","M. Carrano","M. Carrano",36940,"A. O.",Averianov,"A. V.",Lopatin,"S. A. Krasnolutskii",2011,"The first haramiyid (Mammalia, Allotheria) from the Jurassic of Russia","Doklady Biological Sciences",,437,,103,106,"journal article","stated with evidence",English,10.1134/S0012496611020074,,ETE,,"2011-08-03 14:32:27","2011-08-03 14:32:42"
"P. Mannion","J. Tennant","J. Tennant",54584,A.,Averianov,A.,Lopatin,"P. Skutschas, S. Leschinsky",2015,"Two new mammal localities within the Lower Cretaceous Ilek Formation of West Siberia, Russia",Geobios,,48,,131,136,"journal article","stated with evidence",English,http://dx.doi.org/doi:10.1016/j.geobios.2015.02.004,,,,"2015-03-11 06:21:40","2015-04-22 18:25:38"
"R. Benson","R. Benson",,51915,"A. O.",Averianov,T.,Martin,"A. Lopatin",2014,"The oldest dryolestid mammal from the Middle Jurassic of Siberia","Journal of Vertebrate Paleontology",,34,4,924,931,"journal article","stated without evidence",English,10.1080/02724634.2014.837471,,,,"2014-07-10 02:54:04","2014-07-10 17:54:04"
"P. Mannion","J. Tennant",,55679,A.,Averianov,T.,Martin,"A. Lopatin, S. Krasnolutskii",2015,"Stem therian mammal Amphibetulimus from the Middle Jurassic of Siberia","Palaeontologische Zeitschrift",,89,,197,206,"journal article","stated with evidence",English,10.1007/s12542-013-0217-x,,,,"2015-07-02 03:38:05","2015-07-02 18:38:05"
"P. Mannion","J. Tennant",,45983,"A. O.",Averianov,"P. P.",Skutschas,"A. V. Lopatin, S. V. Leschinskiy, A. S. Rezvyi, A. V. Fayngerts",2005,"Early Cretaceous mammals from Bol'Shoi Kemchug 3 locality in West Siberia, Russia","Russian Journal of Theriology",,4,1,1,12,"journal article","stated with evidence",English,,,,,"2013-03-27 00:47:39","2013-03-27 00:47:39"
"M. Carrano","M. Carrano",,23626,"A. O.",Averianov,H.-D.,Sues,,2007,"A new troodontid (Dinosauria: Theropoda) from the Cenomanian of Uzbekistan, with a review of troodontid records from the territories of the former Soviet Union","Journal of Vertebrate Paleontology",,27,1,87,98,"journal article","stated without evidence",English,,,ETE,,"2007-03-22 11:02:24","2007-03-23 05:02:30"
"M. Carrano","M. Carrano","M. Carrano",8702,"A. O.",Averianov,"A. V.",Voronkevich,"E. N. Maschenko, S. V. Leshchinskiy, A. V. Fayngertz",2002,"A sauropod foot from the Early Cretaceous of western Siberia, Russia","Acta Palaeontologica Polonica",,47,1,117,124,"journal article","stated without evidence",,,,,,"2003-06-23 10:52:35","2003-06-24 03:52:35"
"M. Carrano","M. Carrano","M. Carrano",14369,"A. O.",Averianov,"A. V.",Voronkevich,,2002,"A new crown-group salamander from the Early Cretaceous of western Siberia","Russian Journal of Herpetology",,9,3,209,214,"journal article","stated without evidence",English,,,ETE,,"2005-09-06 11:42:25","2005-09-07 04:42:28"
"M. Carrano","M. Carrano",,19092,"A. O.",Averianov,"A. V.",Voronkevich,"S. V. Lechchinskiy, A. Fayngertz",2006,"A ceratopsian dinosaur Psittacosaurus sibiricus from the Early Cretaceous of west Siberia, Russia and its phylogenetic relationships","Journal of Systematic Palaeontology",,4,4,359,395,"journal article","stated without evidence",English,,,ETE,,"2006-10-31 08:42:28","2006-11-01 03:42:32"
"A. Turner","H. O'Regan","H. O'Regan",13183,A.,Azzaroli,,,,1977,"The Villafranchian stage in Italy and the Plio-Pleistocene boundary.","Giornale di Geologia, Bologna",,41,2,61,79,"journal article","stated without evidence",,,,PACED,,"2005-04-14 08:14:59","2005-04-15 01:14:59"
"P. Mannion","P. Mannion","P. Mannion",44133,"A. M.",Baez,,,,2013,"Anurans from the Early Cretaceous Lagerstätte of Las Hoyas, Spain: New evidence on the Mesozoic diversification of crown-clade Anura","Cretaceous Research",,41,,90,106,"journal article","stated with evidence",English,10.1016/j.cretres.2012.11.002,,,,"2013-01-03 06:35:40","2013-02-14 00:53:50"
"J. Head","J. Head","J. Head",13110,S.,Bailon,,,,1988,"Un Anilidaé (Reptilia, Serpentes) dans le Pliocène supérieur européen","Comptes Rendus de l’Académie des Sciences, Paris. Série 2 ",,306,,1255,1258,,"stated without evidence",French,,,,,"2005-04-08 08:38:25","2005-04-09 01:38:25"
"C. Bell","C. Bell",,43523,S.,Bailon,,,,1989,"Les amphibiens et les reptiles du Pliocene superieur de Balaruc II (Herault, France)","Palaeovertebrata, Montpellier",,19,1,7,28,"journal article","stated with evidence",French,,,,,"2012-11-17 03:13:39","2012-11-17 03:13:39"
"M. Carrano","M. Carrano",,25676,"P. M.",Barrett,,,,2006,"A sauropod dinosaur tooth from the Middle Jurassic of Skye, Scotland","Transactions of the Royal Society of Edinburgh: Earth Sciences",,97,,25,29,"journal article","stated without evidence",English,,,ETE,,"2007-11-05 10:41:17","2007-11-06 05:41:17"
"M. Carrano","M. Carrano",,38206,"P. M.",Barrett,"R. B. J.",Benson,"P. Upchurch",2010,"Dinosaurs of Dorset: Part II, the sauropod dinosaurs (Saurischia, Sauropoda) with additional comments of the theropods","Proceedings of the Dorset Natural History and Archaeological Society",,131,,113,126,"journal article","stated with evidence",English,,,,,"2011-10-19 06:43:40","2011-10-19 06:43:40"
"M. Clapham","M. Clapham","M. Clapham",35206,G.,Bechly,A.,Nel,"X. Martínez-Declòs, E. A. Jarzembowski, R. Coram, D. Martill, G. Fleck, F. Escuillié, M. M. Wisshak, M. Maisch",2001,"A revision and phylogenetic study of Mesozoic Aeshnoptera, with description of numerous new taxa (Insecta: Odonata: Anisoptera)","Neue Paläontologische Abhandlungen",,4,,1,219,"serial monograph","stated with evidence",English,,,,,"2011-02-18 05:13:35","2011-02-18 05:14:16"
"M. Carrano","M. Carrano",,31205,"R. B. J.",Benson,"P. M.",Barrett,,2009,"Dinosaurs of Dorset: part I, the carnivorous dinosaurs (Saurischia, Theropoda)","Proceedings of the Dorset Natural History and Archaeological Society",,130,,133,147,"journal article","stated without evidence",English,,,ETE,,"2009-11-18 15:26:59","2009-11-19 10:26:59"
"M. Carrano","K. Maguire","J. Tennant",15587,"M. J.",Benton,"P. S.",Spencer,,1995,,"Fossil Reptiles of Great Britain. Chapman & Hall, London",,,,1,386,"book/book chapter","stated with evidence",English,,,ETE,,"2006-01-11 10:19:33","2015-05-18 23:59:33"
"J. Mueller","T. Liebrecht","T. Liebrecht",55045,"R. L.",Bernor,L.,Kordos,"L. Rook et al.",2004,"Recent Advances on Multidisciplinary Research at Rudabánya, Late Miocene (MN9), Hungary: a compendium","Palaeontographia Italica",,89,,3,36,"journal article","stated without evidence",English,,"further co-authors are: J. Agustí, P. Andrews, M. Armour-Chelu, D. R. Begun, D. W. Cameron, J. Damuth, G. Daxner-Höck, L. de Bonis, O. Fejfar, N. Fessaha, M. Fortelius, J. Franzen, M. Gasparik, A. Gentry, K. Heissig, G. Hernyak, T. Kaiser, G. D. Koufos, E. Krolopp, D. Jánossy, M. Llenas, L. Meszáros, P. Müller, P. Renne, Z. Ro&#269;ek, S. Sen, R. Scott, Z. Szyndlar, G. Topál, P. S. Ungar, T. Utescher, J. A. van Dam, L. Werdelin, R. Ziegler",,,"2015-04-14 16:39:28","2015-04-15 08:57:15"
"P. Barrett","T. Cleary",,59435,A.,Bolet,"J. D.",Daza,"M. Auge, A. M. Bauer",2015,"New genus and species names for the Eocene lizard Cadurcogekko rugosus Augé, 2005",Zootaxa,,3985,2,265,274,"journal article","stated with evidence",English,10.11646/zootaxa.3985.2.5,,,,"2016-06-17 10:16:18","2016-06-18 01:16:18"
"R. Benson","R. Benson",,41482,A.,Bolet,"S. E.",Evans,,2012,"A tiny lizard (Lepidosauria, Squamata) from the Lower Cretaceous of Spain",Palaeontology,,55,3,491,500,"journal article","stated without evidence",English,10.1111/j.1475-4983.2012.01145.x,,,,"2012-05-12 19:39:04","2012-05-12 19:39:04"
"J. Alroy","E. Leckey","E. Leckey",10589,"A. A.",Bosma,,,,1974,"Rodent biostratigraphy of the Eocene-Oligocene transitional strata of the Isle of Wight","Utrecht Micropaleontological Bulletins. Special Publication",,1,,1,113,"serial monograph","stated without evidence",,,,,,"2004-05-24 10:50:19","2004-05-25 03:50:19"
"J. Alroy","E. Leckey","E. Leckey",10493,"A. A.",Bosma,H.,"de Bruijn",,1979,"Eocene and Oligocene Gliridae (Rodentia, Mammalia) from the Isle of Wight, England","Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen, Series B: Palaeontology, Geology, Physics and Chemistry",,82,4,367,384,"journal article","stated without evidence",,,,,,"2004-05-11 15:22:21","2004-05-12 08:28:40"
"J. Alroy","E. Leckey","L. van den Hoek Ostende",10494,"A. A.",Bosma,H.,"de Bruijn",,1982,"Eocene and Oligocene Gliridae (Rodentia, Mammalia) from the Isle of Wight, England","Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen, Series B: Palaeontology, Geology, Physics and Chemistry",,85,4,365,380,"journal article","stated with evidence",English,,,,,"2004-05-11 15:27:18","2006-12-20 15:17:35"
"M. Carrano","M. Carrano",,19188,"G. A.",Boulenger,,,,1881,"Sur l'arc pelvien chez les dinosauriens de Bernissart [On the pelvic arch in the dinosaurs of Bernissart]","Bulletins de L'Académie royale de Belgique, 3eme série",,1,5,1,11,"journal article","stated without evidence",French,,,ETE,,"2006-11-14 11:36:00","2006-11-15 06:36:04"
"P. Mannion","P. Mannion",,43979,"D. M.",Boyer,L.,Costeur,"Y. Lipman",2012,"Earliest record of Platychoerops (Primates, Plesiadapidae), a new species from Mouras Quarry, Mont de Berru, France","American Journal of Physical Anthropology",,149,3,329,346,"journal article","stated with evidence",English,,,,,"2012-12-17 00:38:03","2012-12-17 00:38:03"
"P. Mannion","P. Mannion",,48280,"C. A.",Brochu,,,,2013,"Phylogenetic relationships of Palaeogene ziphodont eusuchians and the status of Pristichampsus Gervais, 1853","Earth and Environmental Science Transactions of the Royal Society of Edinburgh",,103,,1,30,"journal article","stated with evidence",English,,,,,"2013-09-26 01:17:28","2013-09-26 01:17:28"
"P. Mannion","P. Mannion","M. Carrano",39507,E.,Buffetaut,R.,Bussert,"W. Brinkman",1990,"A new nonmarine vertebrate fauna in the Upper Cretaceous of northern Sudan","Berliner Geowissenschaftlische Abhandlungen A",,120,1,183,202,"journal article","stated without evidence",English,,,,,"2012-01-19 04:40:41","2013-09-13 04:39:39"
"M. Carrano","A. Murch",,52262,E.,Buffetaut,G.,Wouters,,1978,"Le centenaire des iguanodons de Bernissart","La Recherche",,9,88,390,392,"journal article","stated without evidence",English,,,,,"2014-08-15 10:53:00","2014-08-16 01:53:00"
"M. Carrano","M. Carrano","M. Carrano",17880,"A. D.",Buscalioni,M.,Frenegal-Martinez,,2006,"Archosaurian size bias in Jurassic and Cretaceous freshwater ecosystems","9th International Symposium on Mesozoic Terrestrial Ecosystems and Biota, Abstracts and Proceedings Volume",,,,9,12,"journal article","stated without evidence",English,,,ETE,,"2006-07-06 13:20:02","2006-07-08 05:43:12"
"R. Benson","R. Benson",,42347,"P. M.",Butler,"J. J.",Hooker,,2005,"New teeth of allotherian mammals from the English Bathonian, including the earliest multituberculates","Acta Palaeontologica Polonica",,50,2,185,207,"journal article","stated without evidence",English,,,,,"2012-07-18 23:57:40","2012-07-18 23:57:40"
"R. Benson","R. Benson",,39707,"P. M.",Butler,D.,Sigogneau-Russell,"P. C. Ensom",2012,"Possible persistence of the morganucodontans in the Lower Cretaceous Purbeck Limestone Group (Dorset, England)","Cretaceous Research",,33,,135,145,"journal article","stated without evidence",English,,,,,"2012-01-25 02:44:10","2012-01-25 02:44:10"
"J. Mueller","T. Liebrecht","T. Liebrecht",46985,M.,Böhme,,,,2008,"Ectothermic vertebrates (Teleostei, Allocaudata, Urodela, Anura, Testudines, Choristodera, Crocodylia, Squamata) from the Upper Oligocene of Oberleichtersbach (Northern Bavaria, Germany)","Courier Forschungsinstitut Senckenberg",,260,,161,183,"journal article","stated without evidence",English,,,,,"2013-05-30 22:41:46","2013-05-30 22:42:02"
"J. Mueller","T. Liebrecht",,43888,M.,Böhme,,,,2010,"Ectothermic vertebrates (Actinopterygii, Allocaudata, Urodela, Anura, Crocodylia, Squamata) from the Miocene of Sandelzhausen (Germany, Bavaria) and their implications for environment reconstruction and palaeoclimate","Paläontologische Zeitschrift",,84,1,3,41,"journal article","stated without evidence",English,10.1007/s12542-010-0050-4,,,,"2012-12-12 23:33:29","2012-12-12 23:33:29"
"J. Mueller","T. Liebrecht",,43885,R.,Böttcher,"E. P. J.",Heizmann,"M. W. Rasser, R. Ziegler",2009,"Biostratigraphy and palaeoecology of a Middle Miocene (Karpathian, MN 5) fauna from the northern margin of the North Alpine Foreland Basin (Oggenhausen 2, SW' Germany)","Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",,254,1/2,237,260,"journal article","stated without evidence",English,10.1127/0077-7749/2009/0011,,,,"2012-12-12 20:06:47","2012-12-12 20:06:47"
"P. Barrett","T. Cleary",,56265,"M. W.",Caldwell,"R. L.",Nydam,"A. Palci, S. Apesteguía",2015,"The oldest known snakes from the Middle Jurassic-Lower Cretaceous provide insights on snake evolution","Nature Communications",,6,5996,1,11,"journal article","stated with evidence",English,10.1038/ncomms6996,,,,"2015-09-09 07:32:37","2015-09-09 22:32:37"
"M. Carrano","M. Oreska",,34089,O.,Cambra-Moo,"A. D.",Buscalioni,"J. Cubo, J. Castanet, M.-M. Loth, E. de Margerie, A. de Ricqles",2006,"Histological observations of Enantiornithine bone (Saurischia, Aves) from the Lower Cretaceous of Las Hoyas (Spain)","Comptes Rendus Palevol",,5,,685,691,"journal article","stated with evidence",English,10.1016/j.crpv.2005.12.018,,ETE,,"2010-10-27 06:40:52","2010-10-28 00:40:52"
"M. Carrano","M. Carrano",,17647,"J. I.",Canudo,"J. I.",Ruiz-Omeñaca,,2003,"Los restos directos de dinosaurios teropódos (excluyendo Aves) en España [Direct remains of theropod dinosaurs (excluding Aves) in Spain]","Ciencias de la Tierra",,26,,347,373,"journal article","stated without evidence",Spanish,,,ETE,,"2006-06-05 06:24:49","2006-06-05 23:24:52"
"M. Uhen","M. Uhen","M. Uhen",47934,H.,Cappetta,,,,1992,"Carcharhiniformes nouveaux (Chondrichthyes, Neoselachii) de l'Ypresien du Bassin de Paris",Geobios,,25,2,639,646,"journal article","stated without evidence",English,10.1016/0016-6995(92)80103-K,,,,"2013-08-16 00:42:25","2013-08-17 01:16:09"
"P. Barrett","T. Cleary",,57855,A.,Cernansky,"M. L.",Auge,"J.-C. Rage",2015,"A complete mandible of a new amphisbaenian reptile (Squamata, Amphisbaenia) from the Late Middle Eocene (Bartonian, MP 16) of France","Journal of Vertebrate Paleontology",,35,1,e902379-1,e902379-9,"journal article","stated with evidence",English,10.1080/02724634.2014.902379,,,,"2016-02-01 08:06:37","2016-02-02 01:06:37"
"P. Barrett","T. Cleary",,59393,A.,Cernansky,J.,Klembara,"J. Muller",2016,"The new rare record of the late Oligocene lizards and amphisbaenians from Germany and its impact on our knowledge of the European terminal Palaeogene","Palaeobiodiversity and Palaeoenvironments",,,,1,29,"journal article","stated with evidence",English,10.1007/s12549-015-0226-8,,,,"2016-06-14 11:19:27","2016-06-15 02:19:27"
"A. Turner","H. O'Regan","J. Alroy",9424,A.,Clot,J.,Chaline,"E. Heintz, D. Jammot, C. Mourer-Chauvire, J. C. Rage",1976,"Montousse 5 (Hautes Pyrenees), un nouveau remplissage de fissure a faune de vertebres du Pleistocene Inferieur",Géobios,,9,4,511,514,"journal article","stated without evidence",French,,,PACED,,"2003-10-28 01:47:53","2006-12-31 09:12:36"
"P. Mannion","J. Tennant","P. Mannion",50288,"V. A.",Codrea,"A. A.",Solomon,"M. Venczel, T. Smith",2014,"A new kogaionid multituberculate mammal from the Maastrichtian of the Transylvanian Basin, Romania","Comptes Rendus Palevol",,13,6,489,499,"journal article","stated with evidence",English,,,,,"2014-03-03 03:48:25","2015-06-23 01:18:50"
"M. Carrano","M. Carrano",,53309,"E. D.",Cope,,,,1880,Iguanodons,"The American Naturalist",,14,,612,,"journal article","stated without evidence",English,,"24 July 1880",,,"2014-10-30 11:15:41","2014-10-31 03:15:41"
"J. Alroy","R. Whatley","L. van den Hoek Ostende",9831,J.-Y.,Crochet,,,,1974,"Les Insectivores des Phosphorites du Quercy. [Insectivores of the Quercy Phosphorites].","Palaeovertebrata, Montpellier",,6,1-2,109,159,"journal article","stated with evidence",French,,,5%,36280,"2004-02-09 15:42:18","2007-01-21 01:30:41"
"L. van den Hoek Ostende","L. van den Hoek Ostende",,19698,J.-Y.,Crochet,,,,1986,"Insectivores pliocènes du sud de la France (Languedoc-Roussillon) et du nord-est de l'Espagne.",Palaeovertebrata,,16,3,145,171,"journal article","stated with evidence",French,,,,,"2007-01-20 12:27:34","2007-01-21 07:27:57"
"J. Alroy","R. Whatley","R. Whatley",11649,J.-Y.,Crochet,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 3. Marsupiaux creodontes et fissipedes. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 3. Marsupialia, Creodonta and Fissipeda.]","Palaeontographica Abteilung A",,205,1-6,61,67,"journal article","stated without evidence",French,,,,,"2004-09-08 13:38:57","2004-09-09 06:38:57"
"L. van den Hoek Ostende","L. van den Hoek Ostende",,19601,J.-Y.,Crochet,,,,1995,"Le Garouillas et les sites contemporains (Oligocene, MP 25) des phosphorites du Quercy (Lot, Tarn-et garonne, France) et leurs faunes de vertebres. 4. Marsupiaux et insectivores.","Palaeontographica Abteilung A",,236,1-6,39,75,"journal article","stated with evidence",French,,,,,"2007-01-06 06:07:10","2007-01-07 01:07:33"
"E. Fara","E. Fara","E. Fara",7272,J.-Y.,Crochet,J.-L.,Hartenberger,"J.-C. Rage, J.A. Remy, B. Sige, J. Sudre, M. Vianey-Liaud",1981,"Les nouvelles faunes de vertebres anterieurs a la ""Grande Coupure"" decouvertes dans les phosphorites du Quercy","Bulletin du Museum national d'Histoire Naturelle de Paris",,3,3,245,266,"journal article","stated without evidence",French,,"Used for paleoenvironmental data in the 5% project but does not belong to the formal 5% ref. list.",,,"2002-10-15 07:51:54","2002-10-16 23:00:26"
"M. Carrano","M. Carrano",,55113,E.,Cuesta,I.,Díaz-Martínez,"F. Ortega, J. L. Sanz",2015,"Did all theropods have chicken-like feet? First evidence of a non-avian dinosaur podotheca","Cretaceous Research",,56,1,53,59,"journal article","stated without evidence",English,10.1016/j.cretres.2015.03.008,,,,"2015-04-21 13:42:21","2015-04-22 04:42:21"
"M. Uhen","M. Uhen","P. Mannion",13612,G.,Daxner-Höck,"P. M.",Miklas-Tempfer,"U. B. Gohlich, K. Huttenen, E. Kazar, D. Nagel, G. E. Roessner, O. Schultz, R. Ziegler",2004,"Marine and terrestrial vertebrates from the Middle Miocene of Grund (Lower Austria)","Geologica Carpathica",,55,2,191,197,"journal article","stated without evidence",English,,,,,"2005-05-26 08:03:00","2015-12-04 22:13:57"
"M. Clapham","M. Clapham",,41244,X.,Delclòs,A.,Nel,"D. Azar, G. Bechly, J. A. Dunlop, M. S. Engel, S. W. Heads",2008,"The enigmatic Mesozoic insect taxon Chresmodidae (Polyneoptera): new palaeobiological and phylogenetic data, with the description of a new species from the Lower Cretaceous of Brazil","Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",,247,,353,381,"journal article","stated with evidence",English,,,,,"2012-04-23 06:12:22","2012-04-23 06:12:22"
"M. Carrano","M. Carrano","M. Carrano",38887,L.,Dollo,,,,1883,"Première note sur les crocodiliens de Bernissart [First note on the crocodilians of Bernissart]","Bulletin du Musée Royal d'Histoire Naturelle de Belgique",,2,,309,338,"journal article","stated with evidence",French,,,,,"2011-12-17 07:56:50","2011-12-17 08:12:24"
"J. Alroy","J. Alroy","J. Alroy",30984,"M. L.",Dollo,,,,1884,"Note sur le batracien de Bernissart","Bulletin du Musée royal d'histoire naturelle de Belgique",,3,1,85,93,"journal article","stated with evidence",French,,,,,"2009-10-28 08:07:42","2009-10-29 02:16:53"
"M. Carrano","M. Carrano","M. Carrano",46929,L.,Dollo,,,,1884,"Les découvertes de Bernissart [The discoveries of Bernissart]","Annales des Sciences Géologiques",,16,6,1,14,"journal article","stated without evidence",French,,,,,"2013-05-25 07:35:07","2013-05-25 07:41:40"
"R. Benson","R. Benson","R. Benson",42005,"M. L.",Dollo,,,,1885,"Premiere note sur les cheloniens de Bernissart","Bulletin de la Musee Royale d'Histoire naturelle de Belgique",,3,,63,79,"journal article","stated without evidence",French,,,,,"2012-06-15 01:49:01","2012-06-15 21:55:06"
"M. Carrano","M. Carrano",,55910,L.,Dollo,,,,1885,"Les Iguanodons de Bernissart [The Iguanodons of Bernissart]","Revue des Questions Scientifiques",,18,,5,55,"journal article","stated without evidence",French,,,,,"2015-07-28 12:38:33","2015-07-29 03:38:33"
"M. Uhen","M. Uhen",,47582,"D. P.",Domning,P.,Pervesler,,2012,"The sirenian Metaxytherium (Mammalia: Dugongidae) in the Badenian (Middle Miocene) of Central Europe","Austrian Journal of Earth Sciences",,105,3,125,160,"journal article","stated without evidence",English,,,,,"2013-07-16 01:18:57","2013-07-16 01:18:57"
